"","Order.Date","date.var","Year","Month","Ship.Mode","Customer.Name","Segment","City","State","Category","Sub.Category","Sales"
"1",2017-11-08,3,"2017","Nov","Second Class","Claire Gute","Consumer","Henderson","Kentucky","Furniture","Bookcases",261.96
"2",2017-11-08,3,"2017","Nov","Second Class","Claire Gute","Consumer","Henderson","Kentucky","Furniture","Chairs",731.94
"3",2017-06-12,4,"2017","Jun","Second Class","Darrin Van Huff","Corporate","Los Angeles","California","Office Supplies","Labels",14.62
"4",2016-10-11,7,"2016","Oct","Standard Class","Sean O'Donnell","Consumer","Fort Lauderdale","Florida","Furniture","Tables",957.5775
"5",2016-10-11,7,"2016","Oct","Standard Class","Sean O'Donnell","Consumer","Fort Lauderdale","Florida","Office Supplies","Storage",22.368
"6",2015-06-09,5,"2015","Jun","Standard Class","Brosina Hoffman","Consumer","Los Angeles","California","Furniture","Furnishings",48.86
"7",2015-06-09,5,"2015","Jun","Standard Class","Brosina Hoffman","Consumer","Los Angeles","California","Office Supplies","Art",7.28
"8",2015-06-09,5,"2015","Jun","Standard Class","Brosina Hoffman","Consumer","Los Angeles","California","Technology","Phones",907.152
"9",2015-06-09,5,"2015","Jun","Standard Class","Brosina Hoffman","Consumer","Los Angeles","California","Office Supplies","Binders",18.504
"10",2015-06-09,5,"2015","Jun","Standard Class","Brosina Hoffman","Consumer","Los Angeles","California","Office Supplies","Appliances",114.9
"11",2015-06-09,5,"2015","Jun","Standard Class","Brosina Hoffman","Consumer","Los Angeles","California","Furniture","Tables",1706.184
"12",2015-06-09,5,"2015","Jun","Standard Class","Brosina Hoffman","Consumer","Los Angeles","California","Technology","Phones",911.424
"13",2018-04-15,5,"2018","Apr","Standard Class","Andrew Allen","Consumer","Concord","North Carolina","Office Supplies","Paper",15.552
"14",2017-12-05,5,"2017","Dec","Standard Class","Irene Maddox","Consumer","Seattle","Washington","Office Supplies","Binders",407.976
"15",2016-11-22,4,"2016","Nov","Standard Class","Harold Pawlan","Home Office","Fort Worth","Texas","Office Supplies","Appliances",68.81
"16",2016-11-22,4,"2016","Nov","Standard Class","Harold Pawlan","Home Office","Fort Worth","Texas","Office Supplies","Binders",2.544
"17",2015-11-11,7,"2015","Nov","Standard Class","Pete Kriz","Consumer","Madison","Wisconsin","Office Supplies","Storage",665.88
"18",2015-05-13,2,"2015","May","Second Class","Alejandro Grove","Consumer","West Jordan","Utah","Office Supplies","Storage",55.5
"19",2015-08-27,5,"2015","Sep","Second Class","Zuschuss Donatelli","Consumer","San Francisco","California","Office Supplies","Art",8.56
"20",2015-08-27,5,"2015","Sep","Second Class","Zuschuss Donatelli","Consumer","San Francisco","California","Technology","Phones",213.48
"21",2015-08-27,5,"2015","Sep","Second Class","Zuschuss Donatelli","Consumer","San Francisco","California","Office Supplies","Binders",22.72
"22",2017-12-09,4,"2017","Dec","Standard Class","Ken Black","Corporate","Fremont","Nebraska","Office Supplies","Art",19.46
"23",2017-12-09,4,"2017","Dec","Standard Class","Ken Black","Corporate","Fremont","Nebraska","Office Supplies","Appliances",60.34
"24",2018-07-16,2,"2018","Jul","Second Class","Sandra Flanagan","Consumer","Philadelphia","Pennsylvania","Furniture","Chairs",71.372
"25",2016-09-25,5,"2016","Sep","Standard Class","Emily Burns","Consumer","Orem","Utah","Furniture","Tables",1044.63
"26",2017-01-16,4,"2017","Jan","Second Class","Eric Hoffmann","Consumer","Los Angeles","California","Office Supplies","Binders",11.648
